genesymbol	log2FoldChange	padj	genename	chromosome_name	idx
YAR031W	-0.979507165559826	0.118427048414993	PRM9	1	37
YAR033W	-1.34100944894115	0.100766443110947	MST28	1	37
YAR035C-A	0.440396039201851	0.533879488067192	NA	1	38
YAR035W	-0.98735605918203	0.545141515091933	YAT1	1	38
YAR042W	0.113229997380356	0.917065932723599	SWH1	1	38
YAR050W	-0.765097993487427	0.422702315680565	FLO1	1	40
YAR061W	-1.17380681132165	0.0357338851100656	NA	1	43
YAR064W	-1.07244209898299	0.152159482278553	NA	1	44
YAR066W	-3.16220496220215	0.123157864649144	NA	1	44
YAR068W	-1.22128864921562	0.129085513651896	NA	1	44
YBL001C	-0.239810287539459	0.282776097269858	ECM15	2	47
YBL002W	-2.14605526921855	0.000576337314727481	HTB2	2	47
YBL003C	-1.76743958136136	0.0516494773957345	HTA2	2	47
YBL004W	-0.683659140527571	0.55529380826213	UTP20	2	45
YBL005W	-0.924914944727645	0.0815289127185206	PDR3	2	43
YBL005W-B	-0.0644295639850113	0.921505708216744	NA	2	44
YBL006C	0.741639741284902	0.000518117260108288	LDB7	2	43
YBL007C	0.519927993017355	0.62243208536886	SLA1	2	42
YBL008W	-0.176754127594046	0.935065798189652	HIR1	2	41
YBL008W-A	0.289146010667541	0.358941246358865	NA	2	41
YBL009W	0.197223450790342	0.859189987568797	ALK2	2	41
YBL010C	-0.182195880615192	0.929118911076234	NA	2	41
YBL011W	-0.916199240136083	0.0713178380998975	SCT1	2	40
YBL013W	-0.508115250879833	0.837754154200681	FMT1	2	40
YBL014C	-0.0882268652564194	0.981485642438685	RRN6	2	39
YBL015W	-1.09173138578455	0.0922936668139927	ACH1	2	38
YBL016W	-0.567731594678303	0.167455725073153	FUS3	2	38
YBL017C	0.551276361224627	0.868955874122911	PEP1	2	37
YBL018C	2.72331414642694	0.0680037495832214	POP8	2	37
YBL019W	-0.518521870343714	0.0117278190998872	APN2	2	36
YBL020W	-0.511822617205873	0.769556581658762	RFT1	2	36
YBL021C	-1.46416291885457	0.106661764500519	HAP3	2	36
YBL022C	0.224668110728396	0.878210545250442	PIM1	2	35
YBL023C	0.353090320028939	0.23547708526136	MCM2	2	34
YBL024W	-1.00023442145347	0.119838487200057	NCL1	2	34
YBL025W	-0.183004117320282	0.0851955002587382	RRN10	2	34
YBL026W	2.37841563326052	0.261944210551149	LSM2	2	34
YBL027W	-0.297456375101073	0.083147277504396	RPL19B	2	33
YBL028C	-1.57772349528614	0.0133662688526515	NA	2	33
YBL029C-A	-0.55462935557212	0.0292107235846409	NA	2	32
YBL029W	1.33428650392307	0.00521018134822642	NA	2	33
YBL030C	-0.21575565002377	0.925082160423152	PET9	2	32
YBL032W	-1.1828636836843	0.0478394983048432	HEK2	2	32
YBL033C	1.1831969821945	0.339792892008621	RIB1	2	31
YBL034C	-0.790475224277315	0.000169027126181229	STU1	2	30
YBL035C	0.204667609706241	1.29673268063626e-09	POL12	2	30
YBL036C	0.342852436735202	0.42958807122349	NA	2	30
YBL037W	0.835467859687523	0.581424094949466	APL3	2	29
YBL038W	0.780904597549786	0.429929722629157	MRPL16	2	29
YBL039C	-1.56013525845583	0.144014374132168	URA7	2	28
YBL039W-B	-0.201470680383395	0.889565856198835	NA	2	28
YBL040C	2.3394182707166	0.00324207990057406	ERD2	2	28
